Match,Type,Time,Red1,Red1IsSurrogate,Red2,Red2IsSurrogate,Red3,Red3IsSurrogate,Blue1,Blue1IsSurrogate,Blue2,Blue2IsSurrogate,Blue3,Blue3IsSurrogate
P1,Practice,2024-04-26 12:00:00 -0400 EDT,6721,false,3940,false,5484,false,7457,false,292,false,1741,false
P2,Practice,2024-04-26 12:06:00 -0400 EDT,135,false,234,false,3865,false,3494,false,7657,false,1024,false
P3,Practice,2024-04-26 12:12:00 -0400 EDT,4926,false,8430,false,868,false,4982,false,9431,false,8103,false
P4,Practice,2024-04-26 12:18:00 -0400 EDT,461,false,829,false,2197,false,3176,false,6498,false,1646,false
P5,Practice,2024-04-26 12:24:00 -0400 EDT,7454,false,1720,false,3487,false,45,false,5188,false,1018,false
P6,Practice,2024-04-26 12:30:00 -0400 EDT,3147,false,9491,false,4272,false,5402,false,1747,false,7617,false
P7,Practice,2024-04-26 12:36:00 -0400 EDT,1501,false,2197,false,7657,false,5010,false,5484,false,868,false
P8,Practice,2024-04-26 12:42:00 -0400 EDT,6721,false,1024,false,829,false,8430,false,4982,false,7454,false
P9,Practice,2024-04-26 12:48:00 -0400 EDT,1741,false,9431,false,5402,false,461,false,3865,false,3487,false
P10,Practice,2024-04-26 12:54:00 -0400 EDT,3494,false,6498,false,5010,false,45,false,4926,false,4272,false
P11,Practice,2024-04-26 13:00:00 -0400 EDT,7457,false,1501,false,3176,false,135,false,7617,false,1018,false
P12,Practice,2024-04-26 13:06:00 -0400 EDT,3147,false,1747,false,234,false,3940,false,1646,false,1720,false
P13,Practice,2024-04-26 13:12:00 -0400 EDT,8103,false,5188,false,3865,true,292,false,9491,false,2197,true
