Match,Type,Time,Red1,Red1IsSurrogate,Red2,Red2IsSurrogate,Red3,Red3IsSurrogate,Blue1,Blue1IsSurrogate,Blue2,Blue2IsSurrogate,Blue3,Blue3IsSurrogate
Q1,Qualification,2024-04-29 09:00:00 -0400 EDT,7457,false,234,false,3487,false,461,false,8103,false,1646,false
Q2,Qualification,2024-04-29 09:06:00 -0400 EDT,8430,false,1720,false,6721,false,2197,false,7617,false,5402,false
Q3,Qualification,2024-04-29 09:12:00 -0400 EDT,292,false,5010,false,9491,false,4272,false,135,false,7454,false
Q4,Qualification,2024-04-29 09:18:00 -0400 EDT,829,false,5484,false,1018,false,3940,false,1741,false,1501,false
Q5,Qualification,2024-04-29 09:24:00 -0400 EDT,3176,false,1024,false,868,false,5188,false,3865,false,3494,false
Q6,Qualification,2024-04-29 09:30:00 -0400 EDT,7657,false,4982,false,6498,false,1747,false,45,false,9431,false
Q7,Qualification,2024-04-29 09:36:00 -0400 EDT,3147,false,5402,false,3940,false,4926,false,1646,false,6721,false
Q8,Qualification,2024-04-29 09:42:00 -0400 EDT,5188,false,868,false,7617,false,1501,false,829,false,1720,false
Q9,Qualification,2024-04-29 09:48:00 -0400 EDT,5484,false,234,false,461,false,9491,false,3865,false,6498,false
Q10,Qualification,2024-04-29 09:54:00 -0400 EDT,2197,false,1741,false,135,false,7457,false,3147,false,1747,false
Q11,Qualification,2024-04-29 10:00:00 -0400 EDT,3487,false,292,false,7454,false,7657,false,8430,false,5010,false
Q12,Qualification,2024-04-29 10:06:00 -0400 EDT,3176,false,4272,false,8103,false,1024,false,4926,false,45,false
Q13,Qualification,2024-04-29 10:12:00 -0400 EDT,4982,false,3494,false,6721,false,1018,false,9431,false,5188,false
Q14,Qualification,2024-04-29 10:18:00 -0400 EDT,461,false,3147,false,3487,false,3940,false,1747,false,1720,false
Q15,Qualification,2024-04-29 10:24:00 -0400 EDT,6498,false,2197,false,7454,false,5484,false,1646,false,868,false
Q16,Qualification,2024-04-29 10:30:00 -0400 EDT,1018,false,292,false,4926,false,1741,false,3865,false,9431,false
Q17,Qualification,2024-04-29 10:36:00 -0400 EDT,45,false,9491,false,7617,false,3176,false,5010,false,829,false
Q18,Qualification,2024-04-29 10:42:00 -0400 EDT,234,false,3494,false,8103,false,4982,false,7457,false,4272,false
Q19,Qualification,2024-04-29 10:48:00 -0400 EDT,7657,false,1501,false,1024,false,135,false,5402,false,8430,false
