Type,Match,Blue1,Blue2,Blue3,Red1,Red2,Red3
Practice,1,7457,292,1741,6721,3940,5484
Practice,2,3494,7657,1024,135,234,3865
Practice,3,4982,9431,8103,4926,8430,868
Practice,4,3176,6498,1646,461,829,2197
Practice,5,45,5188,1018,7454,1720,3487
Practice,6,5402,1747,7617,3147,9491,4272
Practice,7,5010,5484,868,1501,2197,7657
Practice,8,8430,4982,7454,6721,1024,829
Practice,9,461,3865,3487,1741,9431,5402
Practice,10,45,4926,4272,3494,6498,5010
Practice,11,135,7617,1018,7457,1501,3176
Practice,12,3940,1646,1720,3147,1747,234
Practice,13,292,9491,2197,8103,5188,3865
