Type,Match,Blue1,Blue2,Blue3,Red1,Red2,Red3
Qualification,1,461,8103,1646,7457,234,3487
Qualification,2,2197,7617,5402,8430,1720,6721
Qualification,3,4272,135,7454,292,5010,9491
Qualification,4,3940,1741,1501,829,5484,1018
Qualification,5,5188,3865,3494,3176,1024,868
Qualification,6,1747,45,9431,7657,4982,6498
Qualification,7,4926,1646,6721,3147,5402,3940
Qualification,8,1501,829,1720,5188,868,7617
Qualification,9,9491,3865,6498,5484,234,461
Qualification,10,7457,3147,1747,2197,1741,135
Qualification,11,7657,8430,5010,3487,292,7454
Qualification,12,1024,4926,45,3176,4272,8103
Qualification,13,1018,9431,5188,4982,3494,6721
Qualification,14,3940,1747,1720,461,3147,3487
Qualification,15,5484,1646,868,6498,2197,7454
Qualification,16,1741,3865,9431,1018,292,4926
Qualification,17,3176,5010,829,45,9491,7617
Qualification,18,4982,7457,4272,234,3494,8103
Qualification,19,135,5402,8430,7657,1501,1024
Qualification,20,7617,5010,7454,2197,3865,3940
Qualification,21,3487,868,6498,5188,4982,292
Qualification,22,9491,3147,234,8103,8430,1501
Qualification,23,4926,135,9431,45,829,461
Qualification,24,1024,5484,4272,6721,1747,1018
Qualification,25,3494,1741,5402,7657,3176,1720
Qualification,26,1646,7617,4982,7457,3865,135
Qualification,27,6721,3487,5188,7454,4926,3147
Qualification,28,234,1720,2197,292,1024,9431
Qualification,29,4272,6498,461,3176,1501,3494
Qualification,30,1747,829,7657,1018,5010,1646
Qualification,31,3940,9491,868,7457,8103,1741
Qualification,32,8430,5484,7454,45,5402,4982
Qualification,33,3176,1018,234,7617,135,3147
Qualification,34,1720,4272,9491,829,1646,1024
Qualification,35,3487,3865,1501,45,1741,6498
Qualification,36,868,8103,6721,1747,461,8430
Qualification,37,292,2197,3494,4926,5402,5188
Qualification,38,5484,9431,7657,3940,5010,7457
Qualification,39,45,3176,135,8430,4982,3487
Qualification,40,6498,1747,3494,7617,234,3865
Qualification,41,5188,1720,3147,5010,8103,5484
Qualification,42,1741,7454,1018,461,9431,5402
Qualification,43,292,4272,6721,868,7457,829
Qualification,44,2197,4926,7657,1501,9491,1646
Qualification,45,3940,461,5188,1024,5402,1747
Qualification,46,6721,45,7457,1741,292,1720
Qualification,47,4272,868,1501,9431,3487,7617
Qualification,48,3176,6498,8430,9491,1018,2197
Qualification,49,3147,8103,829,7657,3865,7454
Qualification,50,3494,5484,3940,234,1646,135
Qualification,51,4982,4926,1501,5010,1024,6721
Qualification,52,5402,9491,7457,868,45,3147
Qualification,53,3176,3487,5484,829,9431,234
Qualification,54,1018,3865,8430,5010,1720,4926
Qualification,55,5188,1024,1741,6498,135,3940
Qualification,56,2197,461,4982,7617,7657,4272
Qualification,57,292,8103,1747,3494,7454,1646
Qualification,58,234,8430,1024,1741,868,4926
Qualification,59,3147,4982,5010,829,5402,4272
Qualification,60,9431,7454,8103,7617,3940,3176
Qualification,61,7457,1501,292,5188,135,1747
Qualification,62,2197,1646,45,1018,3494,461
Qualification,63,9491,7657,3487,3865,5484,6721
Qualification,64,1720,7454,7457,6498,1501,5188
Qualification,65,8103,1018,135,2197,4272,1747
Qualification,66,3487,3940,829,8430,45,3494
Qualification,67,234,6498,5010,3176,6721,5402
Qualification,68,1741,7657,1646,868,4982,3865
Qualification,69,461,1024,7617,292,5484,3147
Qualification,70,9491,4926,829,1720,9431,6498
Qualification,71,7657,45,5188,1741,234,4272
Qualification,72,461,868,292,4982,3940,1018
Qualification,73,5010,3865,5402,8103,3487,2197
Qualification,74,4926,7617,3494,9491,5484,1747
Qualification,75,135,1024,1720,7454,6721,1501
Qualification,76,1646,3147,8430,7457,9431,3176
